,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,"(332.3794860839844, 421.5163879394531)","(332.3031311035156, 421.5006103515625)","(329.4639892578125, 421.036865234375)","(329.54302978515625, 421.28350830078125)","(329.6612854003906, 420.9538879394531)","(328.79986572265625, 419.803466796875)","(328.2142639160156, 419.2776184082031)","(328.3268737792969, 419.32379150390625)","(326.2821044921875, 418.0447692871094)","(323.0512390136719, 416.6657409667969)","(322.8205871582031, 416.4732666015625)","(320.4986877441406, 414.6201477050781)","(318.4775695800781, 412.2567443847656)","(317.32830810546875, 409.92327880859375)","(317.474609375, 409.8619384765625)","(308.16351318359375, 402.715576171875)","(307.86944580078125, 401.969970703125)","(307.6954345703125, 400.9309997558594)","(307.88037109375, 398.613037109375)","(305.6899108886719, 396.2972106933594)","(305.644775390625, 396.3731384277344)","(300.461669921875, 391.1242370605469)","(300.4875793457031, 391.0597229003906)","(296.7305603027344, 387.6117858886719)","(295.3495788574219, 386.43731689453125)","(292.3699951171875, 383.25115966796875)","(290.97149658203125, 382.1390380859375)","(290.9389953613281, 382.24761962890625)","(289.2046203613281, 376.3169250488281)","(285.18670654296875, 372.8026123046875)","(285.2053527832031, 372.90997314453125)","(283.89141845703125, 365.7705993652344)","(280.86065673828125, 361.70037841796875)","(279.10418701171875, 359.4186706542969)","(277.90771484375, 358.1524658203125)","(274.39215087890625, 351.8266296386719)","(273.11358642578125, 349.01397705078125)","(271.0833435058594, 348.68096923828125)","(271.0563659667969, 348.628173828125)","(274.08184814453125, 346.6925354003906)","(273.99658203125, 346.77734375)","(267.0218200683594, 337.2092590332031)","(266.6409606933594, 335.14605712890625)","(262.0157470703125, 330.0821533203125)","(261.59979248046875, 330.15350341796875)","(255.57400512695312, 325.690673828125)","(254.06280517578125, 322.75958251953125)","(251.32769775390625, 316.8863525390625)","(245.64300537109375, 315.2899475097656)","(240.75433349609375, 314.18988037109375)","(238.14166259765625, 312.7276611328125)","(236.79522705078125, 307.7598571777344)","(238.11978149414062, 304.6123046875)","(235.22909545898438, 305.2715148925781)","(235.65557861328125, 302.0971984863281)","(234.81155395507812, 299.33642578125)","(234.5623779296875, 299.92181396484375)","(237.46490478515625, 289.1988220214844)","(234.22479248046875, 289.84796142578125)","(233.84146118164062, 288.6683349609375)","(234.92758178710938, 284.60552978515625)"
2,"(330.674072265625, 1016.531005859375)","(326.92767333984375, 1018.228759765625)","(325.1599426269531, 1015.3987426757812)","(316.6275329589844, 1008.0845947265625)","(311.99847412109375, 1004.9510498046875)","(305.02923583984375, 997.1314086914062)","(293.2433776855469, 988.781982421875)","(289.5874938964844, 974.6259765625)","(278.109619140625, 960.9715576171875)","(278.9347229003906, 953.6083984375)","(274.9690246582031, 945.750732421875)","(260.3401184082031, 932.5401611328125)","(240.9462890625, 918.185791015625)","(233.28860473632812, 911.3220825195312)","(235.55032348632812, 901.9423828125)","(231.52517700195312, 890.5921630859375)","(219.94558715820312, 880.235107421875)","(209.17840576171875, 879.3921508789062)","(201.3648223876953, 871.1771850585938)","(199.96533203125, 864.6764526367188)","(196.33953857421875, 861.4658203125)","(187.82765197753906, 860.69873046875)","(188.7530517578125, 856.6671142578125)","(179.15292358398438, 862.6324462890625)","(179.727783203125, 863.3189086914062)","(176.003173828125, 864.9265747070312)","(171.91561889648438, 866.9708251953125)","(169.34617614746094, 871.7352294921875)","(167.672119140625, 880.4953002929688)","(168.62545776367188, 886.4364624023438)","(168.06549072265625, 897.7122802734375)","(163.1636505126953, 904.4833984375)","(170.17947387695312, 915.9135131835938)","(171.87643432617188, 923.7775268554688)","(174.7010040283203, 933.946533203125)","(184.06951904296875, 946.21240234375)","(193.29969787597656, 955.5477905273438)","(198.24395751953125, 964.2422485351562)","(208.26611328125, 974.653564453125)","(218.2408447265625, 978.5541381835938)","(233.78216552734375, 982.6932983398438)","(249.44451904296875, 987.2686767578125)","(276.086669921875, 987.4979858398438)","(313.01416015625, 983.673583984375)","(346.4765319824219, 981.625732421875)","(403.5442810058594, 963.5281372070312)","(438.4805908203125, 960.7468872070312)","(475.5321960449219, 946.7595825195312)","(501.3359375, 918.3648071289062)","(514.1954956054688, 909.09521484375)","(514.8508911132812, 895.832763671875)","(521.663818359375, 876.787841796875)","(516.6478271484375, 869.31689453125)","(515.39013671875, 864.5399780273438)","(493.31243896484375, 859.9559326171875)","(484.961181640625, 853.6185302734375)","(481.1739196777344, 859.7952880859375)","(473.5450744628906, 857.281494140625)","(463.93048095703125, 837.978271484375)","(450.769287109375, 840.989501953125)","(447.99700927734375, 834.8300170898438)"
