,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,"(528.7125244140625, 461.68023681640625)","(530.8397216796875, 466.6002197265625)","(534.5055541992188, 469.0674743652344)","(536.8758544921875, 470.6708068847656)","(543.5850219726562, 465.8161926269531)","(548.4877319335938, 472.8441162109375)","(556.2568359375, 472.51104736328125)","(560.454833984375, 477.4416809082031)","(567.489990234375, 475.8081970214844)","(570.66650390625, 478.22491455078125)","(574.5740966796875, 480.7945251464844)","(579.2825317382812, 481.131103515625)","(585.62353515625, 481.8550109863281)","(589.3486938476562, 485.13079833984375)","(595.932861328125, 487.93994140625)","(600.8198852539062, 488.4595947265625)","(606.1767578125, 487.9538269042969)","(613.1010131835938, 489.7767333984375)","(617.6837158203125, 489.7105712890625)","(634.0284423828125, 486.32574462890625)","(640.4114990234375, 484.7402038574219)","(651.1160278320312, 482.434326171875)","(655.9336547851562, 480.3385925292969)","(663.7537841796875, 481.97113037109375)","(671.159423828125, 478.23565673828125)","(675.3528442382812, 473.7397766113281)","(679.7352905273438, 472.5771179199219)","(688.9179077148438, 474.3464660644531)","(698.4212646484375, 480.25006103515625)","(708.6423950195312, 478.28759765625)","(714.9899291992188, 475.8022766113281)","(722.8474731445312, 474.48870849609375)","(727.6973876953125, 464.9732666015625)","(737.99365234375, 460.07177734375)","(743.0661010742188, 458.8105773925781)","(746.6947021484375, 463.1897888183594)","(750.04638671875, 459.40618896484375)","(758.5360717773438, 453.966064453125)","(757.2289428710938, 447.54541015625)","(762.4261474609375, 446.3763122558594)","(774.648193359375, 432.8794860839844)","(783.8562622070312, 426.9015197753906)","(789.0372314453125, 423.3082580566406)","(793.4360961914062, 420.4731750488281)","(798.2282104492188, 413.053955078125)","(792.3366088867188, 404.6127624511719)","(792.1838989257812, 396.7041320800781)","(793.5677490234375, 393.9887390136719)","(804.8001708984375, 395.5962219238281)","(798.20263671875, 390.6761169433594)","(805.5651245117188, 386.9200744628906)","(799.3814697265625, 376.4233703613281)","(800.6339111328125, 381.5317077636719)","(799.9755859375, 366.05029296875)","(792.4061279296875, 346.7191162109375)","(799.1769409179688, 335.989501953125)","(800.9232788085938, 329.57000732421875)","(798.8363037109375, 323.70849609375)","(801.6464233398438, 316.2644958496094)","(799.8427734375, 313.66326904296875)","(802.7691650390625, 305.73162841796875)","(802.1655883789062, 300.60247802734375)","(804.0936279296875, 295.85882568359375)","(804.2265625, 292.9895324707031)","(804.968994140625, 291.9150390625)","(801.2881469726562, 295.4700927734375)","(804.2459106445312, 290.35797119140625)","(799.20849609375, 291.01629638671875)","(797.698486328125, 288.2545166015625)","(796.0303344726562, 285.65863037109375)","(796.684814453125, 282.2141418457031)","(798.0023803710938, 279.6571960449219)","(795.3175659179688, 276.8948974609375)","(794.9736328125, 276.58050537109375)","(794.912353515625, 276.137451171875)","(792.9671020507812, 269.3360900878906)","(793.336181640625, 273.9490966796875)","(791.6759643554688, 268.1101989746094)","(780.98876953125, 269.6495666503906)","(779.73291015625, 266.89886474609375)","(778.6848754882812, 271.60711669921875)","(777.4668579101562, 271.5437927246094)","(777.6409912109375, 276.4273681640625)","(780.3685913085938, 268.76593017578125)","(775.438232421875, 262.09295654296875)","(773.6015014648438, 263.4725646972656)","(776.9822387695312, 254.8590087890625)","(772.9618530273438, 251.95989990234375)","(770.6680908203125, 250.90811157226562)","(764.332763671875, 245.20220947265625)","(764.0198364257812, 245.58822631835938)","(762.665283203125, 242.56729125976562)","(761.4549560546875, 243.67022705078125)","(764.3497924804688, 248.11407470703125)","(762.9495239257812, 249.89236450195312)","(765.6417236328125, 252.0797119140625)"
2,"(1052.2371826171875, 356.3327941894531)","(1044.9747314453125, 355.16876220703125)","(1042.9051513671875, 356.476318359375)","(1042.6134033203125, 356.36865234375)","(1041.295654296875, 356.17059326171875)","(1041.7061767578125, 353.44964599609375)","(1040.258544921875, 353.75054931640625)","(1037.8349609375, 353.8101806640625)","(1038.9359130859375, 354.77313232421875)","(1038.9100341796875, 355.45458984375)","(1040.9407958984375, 356.2870788574219)","(1041.397705078125, 356.5229187011719)","(1042.463134765625, 356.96600341796875)","(1042.154296875, 357.60247802734375)","(1041.1287841796875, 358.10028076171875)","(1041.47802734375, 357.3890075683594)","(1041.056640625, 356.9359436035156)","(1040.94580078125, 356.0201416015625)","(1030.7750244140625, 354.8277587890625)","(1030.1197509765625, 354.88665771484375)","(1029.484130859375, 354.7021484375)","(1029.3284912109375, 354.363037109375)","(1029.439453125, 354.6081237792969)","(1040.6470947265625, 356.1097106933594)","(1041.14794921875, 356.15350341796875)","(1039.45703125, 357.00537109375)","(1039.2386474609375, 357.13140869140625)","(1039.53515625, 357.2132873535156)","(1039.5013427734375, 357.5467224121094)","(1039.0162353515625, 357.4162902832031)","(1038.634765625, 357.32098388671875)","(1035.5107421875, 357.50537109375)","(1035.293212890625, 357.1697692871094)","(1033.7239990234375, 357.2563171386719)","(1030.380615234375, 357.4080505371094)","(1026.3873291015625, 356.5269775390625)","(1023.9723510742188, 356.945556640625)","(1021.6051635742188, 356.5653381347656)","(1023.8062744140625, 355.68511962890625)","(1022.4553833007812, 355.56329345703125)","(1022.8890991210938, 355.21221923828125)","(1022.8521118164062, 354.69000244140625)","(1024.2188720703125, 355.6041564941406)","(1024.857177734375, 355.1539611816406)","(1025.418701171875, 355.7930908203125)","(1020.8772583007812, 353.8910217285156)","(1025.0823974609375, 355.52545166015625)","(1022.2149047851562, 355.1777038574219)","(1020.9464111328125, 352.89947509765625)","(1016.1951904296875, 352.2391662597656)","(1014.2127075195312, 352.7406005859375)","(1015.0178833007812, 353.7244873046875)","(1019.3252563476562, 355.334228515625)","(1018.8549194335938, 353.5806884765625)","(1019.1807861328125, 353.4802551269531)","(1018.8834838867188, 355.3139953613281)","(1018.7071533203125, 355.3278503417969)","(1018.5189208984375, 355.6190490722656)","(1018.7266845703125, 356.2280578613281)","(1019.0429077148438, 355.8425598144531)","(1018.9518432617188, 355.8741149902344)","(1018.384765625, 355.9441833496094)","(1018.325439453125, 356.01434326171875)","(1017.8553466796875, 356.01165771484375)","(1018.0408325195312, 355.9008483886719)","(1018.156005859375, 355.8846435546875)","(1017.3082275390625, 355.4184265136719)","(1017.34326171875, 355.6899108886719)","(1017.2412719726562, 355.8392639160156)","(1016.9181518554688, 355.5115661621094)","(1016.9252319335938, 355.59893798828125)","(1017.1004028320312, 355.6970520019531)","(1017.10693359375, 356.0014953613281)","(1016.3557739257812, 355.83453369140625)","(1015.9544677734375, 355.91314697265625)","(1015.5714721679688, 355.6415710449219)","(1015.3720703125, 355.4886169433594)","(1016.3719482421875, 355.709716796875)","(1016.0978393554688, 355.6802673339844)","(1016.2197265625, 355.7217712402344)","(1016.5391845703125, 355.6838684082031)","(1016.7929077148438, 355.80914306640625)","(1016.8822021484375, 355.5916442871094)","(1017.215087890625, 355.5102233886719)","(1017.572998046875, 355.3966979980469)","(1017.6832885742188, 355.0790710449219)","(1017.6497802734375, 354.948486328125)","(1017.7733154296875, 354.9561462402344)","(1017.5845336914062, 354.61480712890625)","(1017.203369140625, 354.2319030761719)","(1017.389892578125, 354.29534912109375)","(1017.3558349609375, 354.3355407714844)","(1017.36376953125, 354.2794189453125)","(1016.9761962890625, 354.1732177734375)","(1016.3323974609375, 354.31390380859375)","(1015.8380737304688, 354.4859313964844)"
3,"(1097.638671875, 350.6116638183594)","(1097.86181640625, 350.27301025390625)","(1097.1224365234375, 349.7984619140625)","(1101.3485107421875, 345.28594970703125)","(1098.01611328125, 344.09796142578125)","(1094.6907958984375, 342.67999267578125)","(1092.736083984375, 341.8975524902344)","(1090.52880859375, 341.70318603515625)","(1088.966064453125, 342.37493896484375)","(1086.6953125, 343.25030517578125)","(1087.3372802734375, 343.8038330078125)","(1089.358642578125, 343.7899475097656)","(1089.97412109375, 344.3614807128906)","(1090.1763916015625, 345.8878479003906)","(1089.5291748046875, 346.3914794921875)","(1089.1376953125, 346.9543151855469)","(1088.344482421875, 347.1173095703125)","(1088.3270263671875, 347.3804016113281)","(1087.4525146484375, 348.15478515625)","(1087.1015625, 349.23199462890625)","(1089.5218505859375, 349.5091552734375)","(1089.5072021484375, 349.2986145019531)","(1090.031982421875, 349.2954406738281)","(1090.296630859375, 349.56365966796875)","(1089.85546875, 349.5454406738281)","(1088.481689453125, 350.40362548828125)","(1087.988037109375, 350.4757080078125)","(1087.071533203125, 350.66162109375)","(1088.0748291015625, 350.6000671386719)","(1088.0904541015625, 350.5855407714844)","(1087.3011474609375, 350.7509765625)","(1087.7442626953125, 349.6471252441406)","(1087.0986328125, 349.06561279296875)","(1086.8819580078125, 348.5676574707031)","(1084.9608154296875, 349.5921936035156)","(1082.3255615234375, 350.7076416015625)","(1078.7279052734375, 349.0489807128906)","(1078.3177490234375, 347.8804016113281)","(1080.0372314453125, 351.27203369140625)","(1079.556640625, 350.75)","(1080.0172119140625, 350.60394287109375)","(1080.5057373046875, 351.1522521972656)","(1080.4488525390625, 351.68719482421875)","(1079.7716064453125, 352.1483154296875)","(1079.8800048828125, 352.0132141113281)","(1078.903076171875, 350.9245300292969)","(1080.526123046875, 346.7858581542969)","(1081.7578125, 343.873291015625)","(1078.3564453125, 344.4035339355469)","(1080.47314453125, 344.05364990234375)","(1074.422607421875, 345.9875793457031)","(1074.19970703125, 346.11370849609375)","(1078.2244873046875, 346.02593994140625)","(1078.63623046875, 345.7361755371094)","(1077.62158203125, 345.67633056640625)","(1078.01220703125, 346.26220703125)","(1078.0313720703125, 346.636962890625)","(1077.7110595703125, 347.0144958496094)","(1077.3955078125, 347.19915771484375)","(1078.2054443359375, 347.2415771484375)","(1078.6240234375, 346.9967346191406)","(1078.7294921875, 347.08282470703125)","(1078.2886962890625, 347.2425231933594)","(1077.9801025390625, 347.3858642578125)","(1077.940185546875, 347.4765319824219)","(1077.47998046875, 347.6743469238281)","(1077.308349609375, 347.66192626953125)","(1076.600830078125, 347.6689453125)","(1076.3623046875, 347.6778259277344)","(1074.7041015625, 347.9952392578125)","(1074.248046875, 348.0827331542969)","(1074.3597412109375, 348.2987060546875)","(1074.2581787109375, 348.27264404296875)","(1074.1055908203125, 348.0821228027344)","(1073.620361328125, 348.3144226074219)","(1073.8974609375, 348.1600646972656)","(1074.53173828125, 347.9794006347656)","(1075.4249267578125, 347.5035705566406)","(1075.6785888671875, 347.3881530761719)","(1077.2845458984375, 346.3229675292969)","(1077.821533203125, 345.9842834472656)","(1078.6781005859375, 345.3177795410156)","(1079.743896484375, 345.0895080566406)","(1080.52783203125, 344.5776672363281)","(1081.092041015625, 344.4624328613281)","(1081.354736328125, 345.06024169921875)","(1081.4625244140625, 344.771240234375)","(1081.2091064453125, 344.5551452636719)","(1081.2352294921875, 344.5993347167969)","(1080.8995361328125, 344.5788269042969)","(1081.5228271484375, 344.5286560058594)","(1081.8316650390625, 344.6581726074219)","(1081.7738037109375, 344.50750732421875)","(1081.6385498046875, 344.33892822265625)","(1081.8328857421875, 344.16851806640625)","(1081.638916015625, 344.02911376953125)"
4,"(358.45953369140625, 408.20758056640625)","(356.22039794921875, 409.7042236328125)","(351.2866516113281, 414.47332763671875)","(357.5870056152344, 409.2339782714844)","(357.6557922363281, 408.1455383300781)","(358.1628723144531, 407.45220947265625)","(357.9347839355469, 407.1451416015625)","(360.0951232910156, 405.6356201171875)","(360.99713134765625, 404.2833557128906)","(360.78143310546875, 405.080810546875)","(360.0917053222656, 404.8043212890625)","(358.5358581542969, 404.7987976074219)","(358.3191223144531, 404.94500732421875)","(357.3119812011719, 405.2821350097656)","(357.0429992675781, 405.2870788574219)","(358.4335632324219, 404.85162353515625)","(358.6510009765625, 405.04296875)","(358.65399169921875, 405.8412170410156)","(357.9928894042969, 406.37493896484375)","(357.4115295410156, 406.325439453125)","(357.6466369628906, 406.27703857421875)","(356.595947265625, 405.8457336425781)","(356.8195495605469, 405.2509765625)","(357.6905212402344, 404.94427490234375)","(357.5647888183594, 404.8150634765625)","(358.1466369628906, 403.44384765625)","(357.87164306640625, 402.628662109375)","(356.33209228515625, 402.9424133300781)","(356.2904968261719, 402.3231506347656)","(354.07183837890625, 401.5639343261719)","(344.7109680175781, 400.9859924316406)","(344.5114440917969, 400.3004150390625)","(345.0526428222656, 400.4954833984375)","(344.3244934082031, 407.296875)","(343.8887939453125, 408.3736267089844)","(344.9781188964844, 406.6477355957031)","(343.5050048828125, 406.0958251953125)","(344.4935607910156, 404.3855895996094)","(344.0010681152344, 404.0281066894531)","(345.52520751953125, 404.0475769042969)","(342.91064453125, 406.1756896972656)","(339.5152282714844, 406.3660583496094)","(338.3697814941406, 408.0390930175781)","(338.52484130859375, 408.1873474121094)","(338.0287170410156, 408.4753112792969)","(336.44610595703125, 408.45538330078125)","(336.4288330078125, 408.1337890625)","(336.24407958984375, 408.15869140625)","(336.5499267578125, 408.40216064453125)","(336.8894958496094, 408.7962951660156)","(337.0146484375, 408.9478454589844)","(337.0863342285156, 408.6780700683594)","(335.32080078125, 408.39984130859375)","(336.07928466796875, 408.0527038574219)","(336.3730163574219, 408.80206298828125)","(337.004638671875, 408.1583557128906)","(337.0458068847656, 408.3653564453125)","(335.748779296875, 408.37042236328125)","(335.21527099609375, 408.6631164550781)","(334.40997314453125, 408.4870300292969)","(333.42926025390625, 408.462890625)","(332.84014892578125, 408.2879943847656)","(332.5135803222656, 407.6082458496094)","(332.1446838378906, 407.2328186035156)","(331.5763854980469, 407.1446838378906)","(331.4266357421875, 406.2421569824219)","(331.5582580566406, 406.60101318359375)","(330.7310485839844, 407.05029296875)","(330.2388916015625, 407.25787353515625)","(330.7022705078125, 408.01495361328125)","(330.59912109375, 407.983154296875)","(330.44677734375, 407.8894958496094)","(330.496826171875, 407.768798828125)","(331.1443786621094, 407.767822265625)","(331.0411071777344, 407.9400939941406)","(331.2197265625, 409.3550109863281)","(331.3089294433594, 409.23614501953125)","(330.98236083984375, 409.0777282714844)","(331.1444396972656, 409.31512451171875)","(331.07769775390625, 408.8775634765625)","(331.11468505859375, 409.0768737792969)","(331.1834716796875, 409.09356689453125)","(331.2470397949219, 409.0156555175781)","(331.32440185546875, 409.23046875)","(330.9783630371094, 410.1877136230469)","(330.76702880859375, 411.0497131347656)","(330.6195983886719, 410.8647766113281)","(330.5792541503906, 410.87335205078125)","(330.8203430175781, 410.8556213378906)","(330.75445556640625, 410.5028076171875)","(330.6094970703125, 410.89263916015625)","(330.63641357421875, 411.20489501953125)","(330.2076110839844, 411.27008056640625)","(330.1741027832031, 411.41925048828125)",,
5,"(96.43950653076172, 396.15911865234375)","(96.63773345947266, 396.0548400878906)","(96.04247283935547, 395.1972351074219)","(95.53782653808594, 394.0082702636719)","(95.42121124267578, 392.63916015625)","(94.99134063720703, 393.678466796875)","(95.3309555053711, 393.81390380859375)","(95.20170593261719, 394.54718017578125)","(95.81719970703125, 393.62249755859375)","(95.76525115966797, 393.188232421875)","(95.92478942871094, 392.28802490234375)","(95.99779510498047, 391.8076171875)","(96.08097076416016, 391.9945983886719)","(95.84916687011719, 393.9119873046875)","(95.97830200195312, 395.5531921386719)","(96.67794799804688, 393.6360778808594)","(96.93751525878906, 392.7286682128906)","(95.89449310302734, 393.09490966796875)","(95.59921264648438, 392.071533203125)","(94.77108001708984, 393.16448974609375)","(93.7363052368164, 393.53765869140625)","(92.93339538574219, 393.29022216796875)","(92.59881591796875, 393.5461120605469)","(92.50395202636719, 388.41558837890625)","(93.02243041992188, 383.7393493652344)","(92.91865539550781, 384.221435546875)","(92.23877716064453, 381.6986999511719)","(92.17343139648438, 383.0013732910156)","(91.61131286621094, 383.7251892089844)","(92.16226196289062, 383.4054870605469)","(96.62718200683594, 371.3352966308594)","(96.42367553710938, 371.18841552734375)","(95.98371887207031, 372.07000732421875)","(95.61915588378906, 373.2034606933594)","(95.76433563232422, 370.3708190917969)","(95.85099792480469, 371.8288879394531)","(95.94709014892578, 371.9693298339844)","(96.39085388183594, 370.77197265625)","(97.09954833984375, 368.7784729003906)","(97.01397705078125, 368.40228271484375)","(97.03778839111328, 368.91290283203125)","(97.17776489257812, 369.47003173828125)","(96.90603637695312, 371.0404357910156)","(97.12091064453125, 371.07843017578125)","(96.66960144042969, 372.7233581542969)","(96.48174285888672, 372.7607421875)","(96.26573181152344, 373.9091491699219)","(96.22372436523438, 375.81292724609375)","(96.06346893310547, 377.6105651855469)","(95.84469604492188, 377.4842529296875)","(95.57638549804688, 377.3746337890625)","(95.5697021484375, 378.19952392578125)","(95.11567687988281, 379.68255615234375)","(94.99947357177734, 379.583251953125)","(95.80293273925781, 378.2680969238281)","(95.74134826660156, 380.10540771484375)","(95.54582214355469, 380.5403137207031)","(95.51968383789062, 380.2627258300781)","(95.13795471191406, 377.4828186035156)","(95.29139709472656, 377.0902099609375)","(95.0686264038086, 377.2118225097656)","(95.328125, 376.8111267089844)","(96.0255126953125, 374.9139404296875)","(96.17766571044922, 373.8445739746094)","(96.72199249267578, 374.0613708496094)","(97.14649963378906, 372.484619140625)","(96.53527069091797, 371.1314697265625)","(96.48033905029297, 371.7943115234375)","(96.259765625, 374.11370849609375)","(96.47801208496094, 373.5841064453125)","(96.50988006591797, 373.56231689453125)","(96.78348541259766, 374.7916259765625)","(97.01778411865234, 376.0234375)","(97.21311950683594, 375.9395446777344)","(96.9768295288086, 377.3013000488281)","(96.42538452148438, 377.39630126953125)","(96.03996276855469, 377.3870849609375)","(95.76288604736328, 381.0303955078125)","(95.51226043701172, 383.8757629394531)",,,,,,,,,,,,,,,,,
6,"(892.822021484375, 376.90789794921875)","(892.7522583007812, 376.2950439453125)","(888.1815185546875, 377.8766174316406)","(886.539306640625, 378.2189025878906)","(883.5557861328125, 378.3755798339844)","(884.4898071289062, 377.91888427734375)","(882.8467407226562, 378.250244140625)","(882.3817749023438, 376.6494140625)","(883.4208984375, 373.5123291015625)","(875.2407836914062, 381.8126525878906)","(872.0836181640625, 379.681640625)","(889.288818359375, 379.12469482421875)","(891.1399536132812, 379.2733154296875)","(890.6635131835938, 376.23150634765625)","(888.6919555664062, 378.5511474609375)","(881.7620849609375, 376.76385498046875)","(880.8430786132812, 378.49810791015625)","(881.494384765625, 380.2972106933594)","(878.9921875, 379.3663330078125)","(878.880126953125, 377.6243896484375)","(879.6187744140625, 378.1026611328125)","(879.3285522460938, 377.55450439453125)","(878.8707885742188, 377.5424499511719)","(877.8411254882812, 377.1430358886719)","(881.8768310546875, 378.3798828125)","(881.2355346679688, 378.30328369140625)","(880.7195434570312, 378.2429504394531)","(880.75146484375, 378.2983093261719)","(881.1703491210938, 378.48779296875)","(881.2218627929688, 378.5424499511719)","(880.509765625, 378.5278015136719)","(879.94921875, 378.51727294921875)","(880.3475341796875, 378.6528015136719)","(880.05029296875, 378.6565246582031)","(880.7183227539062, 378.5508728027344)","(880.622314453125, 378.66412353515625)","(880.6672973632812, 378.701171875)","(881.3600463867188, 378.8221130371094)","(882.0533447265625, 378.61956787109375)","(881.7860717773438, 378.47991943359375)","(881.9871826171875, 378.2541198730469)","(880.9769287109375, 377.8265075683594)","(880.6513061523438, 377.64227294921875)","(880.4681396484375, 377.3868713378906)","(881.2296142578125, 377.4469299316406)","(880.9971313476562, 377.6382141113281)","(881.9801635742188, 377.44384765625)","(881.6629638671875, 377.3141784667969)","(881.732421875, 377.2841796875)","(881.3327026367188, 377.1450500488281)","(879.4596557617188, 379.8042907714844)","(879.058837890625, 379.88409423828125)","(878.7223510742188, 379.9707336425781)","(878.8486328125, 379.9075927734375)","(878.7329711914062, 379.9270324707031)","(879.0518188476562, 380.1731872558594)","(879.3582763671875, 380.3669128417969)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(845.05908203125, 359.5263366699219)","(842.0936889648438, 359.3187255859375)","(838.7593383789062, 365.63494873046875)","(844.5130004882812, 352.9143371582031)","(841.4967651367188, 349.2109069824219)","(832.33837890625, 342.17840576171875)","(833.8619384765625, 342.88360595703125)","(829.6671752929688, 337.08966064453125)","(832.9480590820312, 340.39434814453125)","(833.7953491210938, 339.41204833984375)","(839.7066650390625, 344.9034729003906)","(841.230712890625, 345.4552917480469)","(841.390380859375, 350.33148193359375)","(843.8245239257812, 346.484130859375)","(844.0875854492188, 348.4833984375)","(845.9071655273438, 349.55377197265625)","(846.5546875, 351.6235656738281)","(845.3793334960938, 354.9266052246094)","(845.8988647460938, 356.61895751953125)","(846.4783325195312, 357.63323974609375)","(846.0910034179688, 358.101318359375)","(846.110595703125, 357.2997741699219)","(845.4967651367188, 357.3871154785156)","(845.10009765625, 356.34271240234375)","(844.4283447265625, 356.4739685058594)","(845.2026977539062, 356.1825256347656)","(844.7639770507812, 356.1599426269531)","(844.985595703125, 356.2906188964844)","(838.3717651367188, 361.14752197265625)","(844.1873168945312, 357.3550109863281)","(837.9869995117188, 361.62518310546875)","(843.154296875, 358.1130065917969)","(845.9849243164062, 358.23126220703125)","(846.1046752929688, 358.8538818359375)","(848.47119140625, 356.98583984375)","(848.1735229492188, 356.62103271484375)","(847.570068359375, 356.7549743652344)","(847.6943969726562, 356.445556640625)","(847.245361328125, 356.49652099609375)","(850.2635498046875, 363.3932189941406)","(850.6209716796875, 363.259033203125)","(850.5880126953125, 363.0822448730469)","(850.3546752929688, 363.49346923828125)","(850.1270141601562, 364.24334716796875)","(849.8570556640625, 364.5666198730469)","(849.2073974609375, 364.82928466796875)","(848.8638916015625, 365.4795837402344)","(848.3424682617188, 365.85394287109375)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
