,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,"(696.0, 495.0)","(697.6300659179688, 494.5597839355469)","(698.6709594726562, 494.4788513183594)","(698.2614135742188, 495.25030517578125)","(698.8682861328125, 495.1097717285156)","(701.5836181640625, 495.4473571777344)","(703.9315795898438, 496.2210388183594)","(704.029296875, 495.8160095214844)","(707.8130493164062, 495.66668701171875)","(710.166259765625, 495.59326171875)","(712.6527709960938, 495.52276611328125)","(714.515625, 495.1878662109375)","(717.8045654296875, 494.69281005859375)","(720.6319580078125, 494.51251220703125)","(723.2825927734375, 493.4536437988281)","(726.87109375, 492.40228271484375)","(728.4336547851562, 492.0196533203125)","(731.2792358398438, 491.22943115234375)","(734.260986328125, 490.9410400390625)","(737.9249267578125, 490.53271484375)","(737.1172485351562, 490.0595703125)","(741.1134643554688, 489.23809814453125)","(743.171142578125, 488.9365539550781)","(743.164794921875, 488.52044677734375)","(742.0841064453125, 488.03369140625)","(739.5916748046875, 487.53338623046875)","(737.2567138671875, 487.3570556640625)","(736.3434448242188, 486.6591796875)","(736.9901123046875, 486.4205627441406)","(734.86669921875, 486.0049133300781)","(735.0335693359375, 485.5335693359375)","(733.09033203125, 485.036376953125)","(728.649169921875, 484.20086669921875)","(726.31494140625, 483.241943359375)","(723.1219482421875, 482.2352600097656)","(721.31298828125, 481.2275390625)","(721.0321044921875, 480.8433837890625)","(721.3096313476562, 480.3896179199219)","(721.7763671875, 480.5687255859375)","(722.3208618164062, 480.3232421875)","(721.234130859375, 479.2722473144531)","(721.8397216796875, 478.56488037109375)","(720.4392700195312, 477.67913818359375)","(720.9369506835938, 476.7178955078125)","(722.139404296875, 476.3504638671875)","(720.6328125, 476.92156982421875)","(719.741455078125, 476.81463623046875)","(719.7886962890625, 476.1474609375)","(722.47119140625, 475.8851318359375)","(721.8283081054688, 475.50628662109375)","(724.2374877929688, 475.3537292480469)","(721.8802490234375, 475.3355407714844)","(722.9818115234375, 474.6935119628906)","(723.7100830078125, 474.4410095214844)","(722.6732177734375, 474.0147705078125)","(722.2818603515625, 474.20831298828125)","(722.1459350585938, 473.6182861328125)","(721.0745239257812, 473.091552734375)","(720.6846923828125, 472.5666198730469)","(721.2072143554688, 471.73590087890625)","(721.422119140625, 471.4375)","(722.1465454101562, 471.3263854980469)","(721.7648315429688, 470.6537170410156)","(720.5914306640625, 470.75091552734375)","(720.4862060546875, 470.14703369140625)","(721.453369140625, 469.27484130859375)","(721.16796875, 467.96826171875)","(721.3883056640625, 468.1484069824219)","(721.8150024414062, 467.9090881347656)","(722.29833984375, 467.84710693359375)","(722.8243408203125, 467.5010986328125)","(723.6702880859375, 467.1012268066406)","(724.6531982421875, 465.92681884765625)","(725.3555908203125, 464.18695068359375)","(726.267333984375, 463.5339660644531)","(726.6107177734375, 463.9736328125)","(727.0338134765625, 463.8280029296875)","(727.5472412109375, 463.8268737792969)","(728.353271484375, 464.4779052734375)","(729.6842041015625, 465.06634521484375)","(730.7965087890625, 465.2876892089844)","(731.5267333984375, 465.3837890625)","(732.763916015625, 465.73193359375)","(733.5469360351562, 463.22216796875)","(734.417724609375, 461.6400146484375)","(734.7420654296875, 461.7124938964844)","(735.13525390625, 461.43231201171875)","(735.9222412109375, 461.0088806152344)","(736.858154296875, 460.19830322265625)","(738.1827392578125, 459.5760803222656)","(739.968505859375, 459.6949157714844)","(741.9449462890625, 460.0902099609375)","(743.3094482421875, 460.5955810546875)","(743.7786254882812, 461.128662109375)","(744.9320068359375, 461.0152587890625)","(745.6580810546875, 461.63604736328125)"
2,"(1059.0, 341.5)","(1057.56982421875, 340.62786865234375)","(1056.1197509765625, 339.6918029785156)","(1055.0006103515625, 338.6747741699219)","(1053.9879150390625, 338.3607177734375)","(1054.0714111328125, 339.04766845703125)","(1053.8182373046875, 339.6158447265625)","(1052.732421875, 339.8465576171875)","(1051.7071533203125, 340.29608154296875)","(1050.3533935546875, 340.778564453125)","(1049.54248046875, 341.26593017578125)","(1049.292724609375, 341.7977294921875)","(1048.53173828125, 341.9635009765625)","(1048.283447265625, 342.02166748046875)","(1048.2314453125, 342.04400634765625)","(1047.2447509765625, 342.04998779296875)","(1046.252685546875, 342.04364013671875)","(1045.56591796875, 342.04412841796875)","(1047.0042724609375, 342.366455078125)","(1047.1783447265625, 342.17889404296875)","(1047.2921142578125, 341.75543212890625)","(1046.994873046875, 341.281982421875)","(1046.9068603515625, 341.08575439453125)","(1043.9188232421875, 341.69561767578125)","(1043.1337890625, 342.23590087890625)","(1042.8577880859375, 342.1089172363281)","(1042.123779296875, 342.05169677734375)","(1041.1932373046875, 341.7096252441406)","(1040.552734375, 341.588134765625)","(1039.646728515625, 341.861083984375)","(1038.991455078125, 341.96356201171875)","(1037.770263671875, 341.9937744140625)","(1036.6461181640625, 341.99945068359375)","(1035.916748046875, 342.00067138671875)","(1035.3345947265625, 341.99609375)","(1034.48974609375, 341.6797790527344)","(1033.863037109375, 341.53070068359375)","(1033.001953125, 341.476806640625)","(1032.702880859375, 341.12725830078125)","(1032.2850341796875, 340.99310302734375)","(1032.181640625, 340.9478759765625)","(1032.1561279296875, 340.94342041015625)","(1032.1826171875, 341.6174621582031)","(1032.214111328125, 341.8941345214844)","(1031.91259765625, 341.97119140625)","(1031.493896484375, 342.359619140625)","(1031.029541015625, 342.15460205078125)","(1030.5643310546875, 342.412353515625)","(1029.740234375, 342.48846435546875)","(1029.1041259765625, 342.22039794921875)","(1028.5595703125, 342.4191589355469)","(1028.076416015625, 342.51025390625)","(1027.60693359375, 342.87811279296875)","(1027.4310302734375, 342.99200439453125)","(1026.7386474609375, 343.0137939453125)","(1026.4923095703125, 343.02191162109375)","(1026.4371337890625, 343.0091552734375)","(1026.07666015625, 343.0182800292969)","(1025.9661865234375, 343.00640869140625)","(1025.609130859375, 343.01129150390625)","(1025.505126953125, 343.0115966796875)","(1025.44580078125, 342.99774169921875)","(1025.4453125, 343.0058288574219)","(1025.42919921875, 343.01416015625)","(1025.0992431640625, 343.3515930175781)","(1024.986083984375, 343.47906494140625)","(1024.628662109375, 343.5231018066406)","(1024.4935302734375, 343.537841796875)","(1024.462646484375, 343.212158203125)","(1023.787109375, 343.1007080078125)","(1023.5572509765625, 343.04736328125)","(1023.4613037109375, 343.0719299316406)","(1023.445556640625, 343.0364990234375)","(1023.126953125, 343.3604736328125)","(1023.01123046875, 343.47076416015625)","(1022.98681640625, 343.84832763671875)","(1022.969482421875, 343.9810791015625)","(1023.0074462890625, 344.068603515625)","(1022.9957275390625, 344.0698547363281)","(1023.0401611328125, 344.39593505859375)","(1023.3651123046875, 344.5019226074219)","(1023.8238525390625, 344.54376220703125)","(1023.9898681640625, 344.5316162109375)","(1024.0673828125, 344.5247497558594)","(1024.031982421875, 344.53338623046875)","(1024.050048828125, 344.53375244140625)","(1024.01904296875, 343.871826171875)","(1023.677978515625, 343.6186218261719)","(1023.882080078125, 343.51190185546875)","(1023.9620361328125, 343.472900390625)","(1023.973388671875, 343.4697265625)","(1023.652587890625, 343.47320556640625)","(1023.5325927734375, 343.48907470703125)","(1023.1638793945312, 343.16632080078125)","(1023.0428466796875, 343.05328369140625)","(1022.672607421875, 343.0107727050781)"
3,"(1113.0, 340.5)","(1112.000732421875, 340.4947509765625)","(1111.013916015625, 340.4856262207031)","(1110.4150390625, 340.8921203613281)","(1108.775634765625, 341.0001220703125)","(1107.221435546875, 340.34918212890625)","(1106.0582275390625, 340.43035888671875)","(1105.354736328125, 340.82110595703125)","(1104.4876708984375, 340.98516845703125)","(1103.54833984375, 341.0169982910156)","(1103.223876953125, 340.66314697265625)","(1103.48974609375, 340.213134765625)","(1103.2633056640625, 340.35540771484375)","(1102.88232421875, 340.41375732421875)","(1102.111328125, 340.7772521972656)","(1101.51953125, 340.587158203125)","(1101.342529296875, 340.5109558105469)","(1100.960693359375, 340.49053955078125)","(1100.515869140625, 340.4783935546875)","(1099.662109375, 340.8311767578125)","(1099.390625, 340.9436340332031)","(1098.9498291015625, 340.67730712890625)","(1098.160400390625, 340.5574951171875)","(1097.52978515625, 340.869384765625)","(1097.334716796875, 340.6287841796875)","(1097.268798828125, 340.5439453125)","(1097.279296875, 340.50506591796875)","(1097.2869873046875, 340.5030517578125)","(1097.3260498046875, 340.1830139160156)","(1097.324951171875, 340.04931640625)","(1097.002197265625, 340.3319396972656)","(1096.5548095703125, 340.4317321777344)","(1096.03955078125, 340.4656982421875)","(1095.1884765625, 340.14892578125)","(1094.21240234375, 340.3560791015625)","(1093.54052734375, 340.7823181152344)","(1092.638427734375, 340.25177001953125)","(1091.99365234375, 339.72509765625)","(1091.768798828125, 340.1861877441406)","(1090.708251953125, 340.36114501953125)","(1090.3555908203125, 340.42889404296875)","(1089.9017333984375, 340.46478271484375)","(1089.7674560546875, 340.4891357421875)","(1089.406005859375, 339.8572998046875)","(1088.95654296875, 339.9234619140625)","(1088.154296875, 339.9818115234375)","(1087.218505859375, 339.9853820800781)","(1086.9085693359375, 340.65264892578125)","(1085.81494140625, 341.8814697265625)","(1085.0843505859375, 341.7209777832031)","(1084.84033203125, 342.28558349609375)","(1084.476318359375, 342.5089416503906)","(1084.056396484375, 341.9337463378906)","(1083.56982421875, 341.6829528808594)","(1083.423583984375, 341.5684509277344)","(1083.38623046875, 341.52508544921875)","(1083.079833984375, 341.1649169921875)","(1082.95458984375, 341.04583740234375)","(1082.933837890625, 340.65765380859375)","(1082.93994140625, 340.52362060546875)","(1082.973388671875, 340.806884765625)","(1083.291748046875, 340.5730285644531)","(1083.1011962890625, 340.50128173828125)","(1083.01123046875, 340.48297119140625)","(1082.9794921875, 340.48345947265625)","(1082.9771728515625, 340.48724365234375)","(1082.657470703125, 340.48834228515625)","(1082.2008056640625, 340.49102783203125)","(1082.0474853515625, 340.4947509765625)","(1081.6558837890625, 340.5107421875)","(1081.531982421875, 340.50726318359375)","(1081.47265625, 340.5509033203125)","(1081.46875, 340.5242614746094)","(1081.483154296875, 340.52227783203125)","(1081.490966796875, 340.50994873046875)","(1081.5087890625, 340.5120849609375)","(1081.50537109375, 340.50604248046875)","(1081.215087890625, 341.2060852050781)","(1081.4071044921875, 341.11065673828125)","(1081.857421875, 341.0714111328125)","(1082.3353271484375, 341.04034423828125)","(1082.8447265625, 341.3625793457031)","(1083.02783203125, 341.458740234375)","(1083.770751953125, 341.165283203125)","(1083.9814453125, 340.73486328125)","(1083.756591796875, 340.5723876953125)","(1083.628662109375, 340.51190185546875)","(1083.90673828125, 340.4893798828125)","(1084.010009765625, 340.46929931640625)","(1084.047119140625, 340.46282958984375)","(1084.037353515625, 340.47161865234375)","(1084.034912109375, 340.47906494140625)","(1084.03173828125, 340.4960021972656)","(1084.032470703125, 340.17315673828125)","(1084.046875, 340.0594787597656)","(1084.052978515625, 340.016357421875)"
4,"(369.8811950683594, 366.41107177734375)","(369.865966796875, 366.51568603515625)","(369.5438232421875, 366.5152587890625)","(369.0736083984375, 366.53515625)","(369.31292724609375, 366.5062561035156)","(368.7434387207031, 366.8790283203125)","(367.8333740234375, 366.99200439453125)","(367.18902587890625, 367.0316162109375)","(366.6324462890625, 366.99761962890625)","(366.45452880859375, 367.0181884765625)","(366.38104248046875, 366.98443603515625)","(366.03692626953125, 366.9739074707031)","(365.94403076171875, 366.97113037109375)","(365.91717529296875, 366.97259521484375)","(365.92626953125, 366.9806823730469)","(365.94317626953125, 366.98748779296875)","(365.96099853515625, 366.65667724609375)","(365.9522399902344, 366.54876708984375)","(365.6239013671875, 366.51458740234375)","(365.497802734375, 366.49505615234375)","(365.1249084472656, 366.4892578125)","(364.65606689453125, 366.491455078125)","(364.4876708984375, 366.4844970703125)","(364.4393310546875, 366.47845458984375)","(364.4316711425781, 366.47320556640625)","(364.4310302734375, 366.48748779296875)","(364.4320068359375, 366.4936828613281)","(364.10736083984375, 366.4969177246094)","(363.6370544433594, 366.49072265625)","(363.4619140625, 366.4889831542969)","(363.3715515136719, 365.82281494140625)","(363.3388977050781, 365.5721435546875)","(363.6514892578125, 365.47802734375)","(362.47552490234375, 366.440673828125)","(362.036376953125, 366.4666748046875)","(361.88311767578125, 366.7976379394531)","(361.1656188964844, 366.9205627441406)","(360.26165771484375, 366.634033203125)","(359.9295654296875, 366.5343017578125)","(359.8182373046875, 366.4939880371094)","(359.464599609375, 366.503662109375)","(358.69921875, 365.84967041015625)","(358.428466796875, 365.5870361328125)","(358.3466796875, 365.5140075683594)","(357.665283203125, 365.4732971191406)","(358.11474609375, 365.15789794921875)","(358.3102722167969, 365.0107421875)","(358.04803466796875, 364.9873046875)","(357.63775634765625, 365.28948974609375)","(357.82708740234375, 365.4267578125)","(357.9208068847656, 365.49017333984375)","(357.62457275390625, 365.4940185546875)","(357.52166748046875, 365.478515625)","(357.822265625, 365.49566650390625)","(357.61822509765625, 365.4727478027344)","(357.8487548828125, 365.47552490234375)","(357.9459533691406, 365.47027587890625)","(357.6512451171875, 365.48162841796875)","(357.54931640625, 365.4846496582031)","(357.5027770996094, 365.4782409667969)","(357.163818359375, 365.4842529296875)","(357.00213623046875, 365.4920654296875)","(356.94549560546875, 365.4984130859375)","(356.6014404296875, 365.5020446777344)","(356.4969482421875, 365.8349609375)","(356.4578857421875, 365.9609069824219)","(356.45684814453125, 365.67742919921875)","(356.1233215332031, 365.9107360839844)","(356.0134582519531, 365.9899597167969)","(355.97015380859375, 366.401123046875)","(355.63751220703125, 366.5005798339844)","(355.85662841796875, 366.2113037109375)","(355.6131591796875, 366.087890625)","(355.8764343261719, 366.0514221191406)","(355.621826171875, 366.0267333984375)","(355.90313720703125, 366.0478210449219)","(355.97265625, 366.36279296875)","(356.0567626953125, 366.47686767578125)","(356.04974365234375, 366.50689697265625)","(356.05877685546875, 366.19354248046875)","(356.05255126953125, 366.04962158203125)","(356.396484375, 366.31744384765625)","(356.4674072265625, 366.44073486328125)","(356.515380859375, 366.48406982421875)","(356.5016784667969, 366.5082702636719)","(356.49871826171875, 366.5108947753906)","(356.494140625, 366.51025390625)","(356.16363525390625, 366.1755676269531)","(356.02764892578125, 366.0559387207031)","(355.652587890625, 366.01287841796875)","(355.5103759765625, 366.00909423828125)","(355.46441650390625, 366.00860595703125)","(355.46832275390625, 365.6865234375)","(355.47625732421875, 365.562744140625)",,
5,"(120.42030334472656, 370.0019226074219)","(120.50944519042969, 370.00146484375)","(120.51930236816406, 370.0089111328125)","(120.51224517822266, 370.0194091796875)","(120.50930786132812, 370.006591796875)","(120.50236511230469, 370.0069274902344)","(120.50399017333984, 370.0023193359375)","(120.49836730957031, 369.6564025878906)","(120.5103988647461, 369.8621826171875)","(120.51376342773438, 369.6002502441406)","(120.5135498046875, 369.5198974609375)","(120.50065612792969, 369.4884948730469)","(120.50511169433594, 369.4838562011719)","(120.47763061523438, 369.47332763671875)","(120.466064453125, 369.8061218261719)","(120.4296875, 369.59521484375)","(119.75172424316406, 369.51434326171875)","(119.48645782470703, 369.483642578125)","(119.40216064453125, 369.4764404296875)","(119.3834228515625, 369.4679870605469)","(119.38253784179688, 369.45318603515625)","(119.04533386230469, 369.44696044921875)","(118.94629669189453, 369.447509765625)","(118.90031433105469, 369.4609375)","(118.56546020507812, 369.46014404296875)","(118.4427490234375, 369.489990234375)","(118.08782958984375, 369.1700439453125)","(117.64080810546875, 369.0350341796875)","(117.48340606689453, 369.00714111328125)","(117.75086975097656, 368.9832763671875)","(118.23037719726562, 368.67822265625)","(118.42926025390625, 368.52960205078125)","(118.4903335571289, 368.50115966796875)","(118.52410125732422, 368.47161865234375)","(118.53166198730469, 368.48309326171875)","(118.21239471435547, 368.8321838378906)","(118.08883666992188, 368.9451599121094)","(118.04114532470703, 368.969970703125)","(118.0322494506836, 369.00811767578125)","(118.02882385253906, 368.9859619140625)","(118.00399017333984, 368.9859313964844)","(117.99943542480469, 368.98095703125)","(117.99046325683594, 368.99212646484375)","(117.99260711669922, 368.99365234375)","(117.99098205566406, 368.98779296875)","(117.99200439453125, 368.9910888671875)","(117.95533752441406, 368.99688720703125)","(117.94442749023438, 369.0014343261719)","(117.61344909667969, 369.00384521484375)","(117.51597595214844, 369.0067138671875)","(117.14697265625, 369.0077819824219)","(117.01898193359375, 369.009765625)","(116.96852111816406, 369.02056884765625)","(116.9630126953125, 369.0164794921875)","(116.96215057373047, 369.06939697265625)","(116.97294616699219, 369.0322265625)","(117.32194519042969, 369.0235595703125)","(117.12307739257812, 369.0087890625)","(117.0751953125, 369.01678466796875)","(117.0257568359375, 369.0087890625)","(117.05540466308594, 369.36376953125)","(117.02467346191406, 369.4771423339844)","(117.07487487792969, 369.512939453125)","(117.38053131103516, 369.5144958496094)","(117.5108413696289, 369.1915283203125)","(117.54823303222656, 369.0441589355469)","(117.90629577636719, 368.9781494140625)","(117.98287963867188, 368.97802734375)","(118.68608093261719, 368.97589111328125)","(118.92129516601562, 368.988037109375)","(119.00918579101562, 368.98681640625)","(119.03280639648438, 368.9906005859375)","(119.03842163085938, 368.98895263671875)","(119.02838134765625, 368.9949645996094)","(119.02424621582031, 368.9989013671875)","(119.01751708984375, 369.01165771484375)","(119.01658630371094, 369.0166015625)","(119.03213500976562, 369.02606201171875)","(119.03932189941406, 369.0267028808594)",,,,,,,,,,,,,,,,,
6,"(890.0799560546875, 356.87213134765625)","(889.505615234375, 355.78143310546875)","(887.8251953125, 356.20477294921875)","(887.7025146484375, 356.3937683105469)","(887.7098999023438, 356.473388671875)","(887.7476806640625, 356.480224609375)","(888.14501953125, 356.5102844238281)","(889.720458984375, 355.8154296875)","(886.5592651367188, 363.109375)","(884.3359375, 356.32373046875)","(884.971435546875, 356.8243408203125)","(885.5196533203125, 359.33935546875)","(885.4345092773438, 359.25823974609375)","(884.7874755859375, 357.876953125)","(883.2249755859375, 362.9356689453125)","(882.9801635742188, 362.15008544921875)","(882.5765380859375, 362.21502685546875)","(882.4572143554688, 361.20745849609375)","(882.4031982421875, 361.16204833984375)","(882.739013671875, 361.45025634765625)","(882.8775634765625, 360.5714111328125)","(882.6231079101562, 360.5608215332031)","(882.1751098632812, 360.5400390625)","(882.02587890625, 360.5416259765625)","(881.6199951171875, 359.8844909667969)","(881.7994384765625, 359.30487060546875)","(881.5543212890625, 359.090576171875)","(881.4786376953125, 358.68212890625)","(881.4495849609375, 358.2021484375)","(881.7860107421875, 358.02545166015625)","(881.9093017578125, 357.319580078125)","(881.9764404296875, 357.37652587890625)","(881.989013671875, 357.45220947265625)","(882.007080078125, 357.44091796875)","(881.696533203125, 357.7787780761719)","(881.9085693359375, 357.89935302734375)","(882.0043334960938, 357.9561767578125)","(882.023681640625, 357.9722900390625)","(881.4114990234375, 358.018798828125)","(881.145263671875, 358.34051513671875)","(881.0953369140625, 358.4613952636719)","(881.051025390625, 359.15460205078125)","(881.372314453125, 359.4207458496094)","(881.488037109375, 359.1630859375)","(881.5484008789062, 358.732177734375)","(881.5093994140625, 358.58203125)","(881.855712890625, 358.855224609375)","(881.95166015625, 358.63079833984375)","(881.9888916015625, 358.21173095703125)","(882.0029296875, 358.0450439453125)","(882.6715087890625, 357.98284912109375)","(882.90625, 357.97027587890625)","(882.9948120117188, 357.970458984375)","(883.024169921875, 357.9853210449219)","(882.7042846679688, 357.99285888671875)","(882.9299926757812, 358.00445556640625)","(883.015380859375, 358.00787353515625)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(837.71630859375, 339.5851135253906)","(837.44921875, 341.47589111328125)","(837.0264282226562, 341.31036376953125)","(838.0687255859375, 340.86383056640625)","(836.31884765625, 341.3833312988281)","(836.71826171875, 341.88671875)","(837.23681640625, 346.8157043457031)","(837.0810546875, 345.51470947265625)","(837.393310546875, 347.05255126953125)","(837.4859008789062, 349.6475830078125)","(837.18994140625, 349.17926025390625)","(837.0828857421875, 348.9931640625)","(836.72607421875, 348.219482421875)","(837.5682373046875, 347.8955078125)","(837.8974609375, 347.4334716796875)","(837.3326416015625, 346.25787353515625)","(836.454345703125, 345.4817199707031)","(835.8027954101562, 345.5107421875)","(835.2433471679688, 345.5196533203125)","(834.701904296875, 345.19281005859375)","(834.5132446289062, 345.0700988769531)","(834.4418334960938, 345.03668212890625)","(834.7684326171875, 345.3445129394531)","(834.8858642578125, 345.83917236328125)","(834.9464721679688, 346.3087463378906)","(835.3147583007812, 346.4896240234375)","(835.1229248046875, 346.2100830078125)","(835.0679931640625, 346.1094055175781)","(835.3607177734375, 347.712158203125)","(835.5136108398438, 347.0238037109375)","(835.537353515625, 348.0534973144531)","(835.594970703125, 347.1147155761719)","(836.2440185546875, 346.74041748046875)","(836.8259887695312, 346.93267822265625)","(836.3709716796875, 346.3191833496094)","(836.2098388671875, 346.4151611328125)","(836.083984375, 346.7994079589844)","(836.3948974609375, 347.2747802734375)","(836.47607421875, 347.12261962890625)","(836.838134765625, 348.3839416503906)","(836.970947265625, 348.5164489746094)","(837.3475341796875, 348.5575866699219)","(837.1441650390625, 348.57476806640625)","(837.0670166015625, 348.90838623046875)","(837.0352783203125, 349.0401611328125)","(836.6957397460938, 349.08306884765625)","(836.582275390625, 349.43109130859375)","(836.2113647460938, 349.885009765625)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
